link,Code,Sale_rent,Price,Total_area,Floor,Rooms,Date
,,,,,,,
https://akcern.am/en/property/7332,Code - 80304,For sale Apartment in Yerevan,"200,000 USD",'Total area 140 m 2','Floor 2','Count of rooms 5',06.07.2021
https://akcern.am/en/property/15734,Code - 30643,For rent Apartment in Yerevan,350 USD,'Total area 110 m 2','Floor 4','Count of rooms 3',06.07.2021
https://akcern.am/en/property/7029,Code - 80300,For sale Apartment in Yerevan,"1,500,000 USD",'Total area 370 m 2','Floor 16','Count of rooms 3',06.07.2021
https://akcern.am/en/property/7333,Code - 80075,For rent Apartment in Yerevan,800 USD,'Total area 140 m 2','Floor 2','Count of rooms 5',06.07.2021
https://akcern.am/en/property/1434,Code - 40450,For sale Apartment in Yerevan,"155,000 USD",'Total area 95 m 2','Floor 6','Count of rooms 4',06.07.2021
https://akcern.am/en/property/7196,Code - 32056,For sale Apartment in Yerevan,"110,000 USD",'Total area 91 m 2','Floor 6','Count of rooms 3',06.07.2021
https://akcern.am/en/property/4203,Code - 31858,For sale Apartment in Yerevan,"60,000 USD",'Total area 78 m 2','Floor 2','Count of rooms 3',06.07.2021
https://akcern.am/en/property/4975,Code - 20566,For rent Apartment in Yerevan,800 USD,'Total area 72 m 2','Floor 2','Count of rooms 2',06.07.2021
https://akcern.am/en/property/5333,Code - 10411,For rent Apartment in Yerevan,270 USD,'Total area 45 m 2','Floor 5','Count of rooms 1',06.07.2021
https://akcern.am/en/property/2932,Code - 10341,For rent Apartment in Yerevan,400 USD,'Total area 45 m 2','Floor 3','Count of rooms 1',06.07.2021
https://akcern.am/en/property/151,Code - 10193,For rent Apartment in Yerevan,650 USD,'Total area 39 m 2','Floor 4','Count of rooms 1',06.07.2021
https://akcern.am/en/property/18826,Code - 260584,For sale Apartment in Yerevan,"70,000 USD",'Total area 67 m 2','Floor 5','Count of rooms 2',06.07.2021
https://akcern.am/en/property/6206,Code - 22133,For sale Apartment in Yerevan,"200,000 USD",'Total area 72 m 2','Floor 2','Count of rooms 2',06.07.2021
https://akcern.am/en/property/11026,Code - 30595,For rent Apartment in Yerevan,500 USD,'Total area 75 m 2','Floor 3','Count of rooms 3',06.07.2021
https://akcern.am/en/property/18849,Code - 360613,For sale Apartment in Yerevan,"73,000 USD",'Total area 81 m 2','Floor 7','Count of rooms 3',06.07.2021
https://akcern.am/en/property/8935,Code - 22656,For sale Apartment in Yerevan,"130,000 USD",'Total area 66 m 2','Floor 8','Count of rooms 2',06.07.2021
https://akcern.am/en/property/18893,Code - 360655,For sale Apartment in Yerevan,"68,000 USD",'Total area 73 m 2','Floor 3','Count of rooms 3',06.07.2021
https://akcern.am/en/property/12036,Code - 260091,For sale Apartment in Yerevan,"100,000 USD",'Total area 79 m 2','Floor 8','Count of rooms 2',06.07.2021
https://akcern.am/en/property/9634,Code - 158623,For sale Apartment in Yerevan,"53,000 USD",'Total area 47 m 2','Floor 6','Count of rooms 1',06.07.2021
https://akcern.am/en/property/19289,Code - 261046,For sale Apartment in Yerevan,"67,000 USD",'Total area 49 m 2','Floor 7','Count of rooms 2',06.07.2021
https://akcern.am/en/property/19261,Code - 461022,For sale Apartment in Yerevan,"155,000 USD",'Total area 114 m 2','Floor 4','Count of rooms 4',06.07.2021
https://akcern.am/en/property/18919,Code - 160684,For sale Apartment in Yerevan,"135,000 USD",'Total area 37 m 2','Floor 2','Count of rooms 1',06.07.2021
https://akcern.am/en/property/7829,Code - 22170,For sale Apartment in Yerevan,"70,000 USD",'Total area 73 m 2','Floor 12','Count of rooms 2',06.07.2021
https://akcern.am/en/property/2953,Code - 20820,For sale Apartment in Yerevan,"185,000 USD",'Total area 45 m 2','Floor 2','Count of rooms 2',06.07.2021
https://akcern.am/en/property/19350,Code - 361108,For sale Apartment in Yerevan,"410,000 USD",'Total area 116 m 2','Floor 5','Count of rooms 3',06.07.2021
https://akcern.am/en/property/3064,Code - 30769,For rent Apartment in Yerevan,800 USD,'Total area 120 m 2','Floor 14','Count of rooms 3',06.07.2021
https://akcern.am/en/property/16539,Code - 20604,For rent Apartment in Yerevan,300 USD,'Total area 59 m 2','Floor 5','Count of rooms 2',06.07.2021
https://akcern.am/en/property/19024,Code - 460779,For sale Apartment in Yerevan,"195,000 USD",'Total area 107 m 2','Floor 2','Count of rooms 4',06.07.2021
https://akcern.am/en/property/9659,Code - 358661,For sale Apartment in Yerevan,"165,000 USD",'Total area 130 m 2','Floor 11','Count of rooms 3',05.07.2021
https://akcern.am/en/property/11711,Code - 360009,For sale Apartment in Yerevan,"125,000 USD",'Total area 100 m 2','Floor 8','Count of rooms 3',05.07.2021
https://akcern.am/en/property/19346,Code - 461104,For rent Apartment in Yerevan,"2,500 USD",'Total area 169 m 2','Floor 5','Count of rooms 4',05.07.2021
https://akcern.am/en/property/19345,Code - 461103,For rent Apartment in Yerevan,"2,500 USD",'Total area 174 m 2','Floor 5','Count of rooms 4',05.07.2021
https://akcern.am/en/property/19344,Code - 461102,For sale Apartment in Yerevan,"1,000,000 USD",'Total area 169 m 2','Floor 5','Count of rooms 4',05.07.2021
https://akcern.am/en/property/18815,Code - 260571,For sale Apartment in Yerevan,"65,000 USD",'Total area 67 m 2','Floor 8','Count of rooms 2',05.07.2021
