Link,Code,Sale_Rent,Price,Total_area,Floor,Rooms,Date,Location,Features
https://akcern.am/en/property/7332,Code - 80304,For sale Apartment in Yerevan,"200,000 USD",Total area 140 m 2,Floor 2,Count of rooms 5,06.07.2021,"Yerevan, Zeitun, K.Ulnetsi","Air Conditioner(AC):No,Garage:No,Parking:No,Furniture:No,Appliances:No,Balcony:No,Condition:Yes"
https://akcern.am/en/property/15734,Code - 30643,For rent Apartment in Yerevan,350 USD,Total area 110 m 2,Floor 4,Count of rooms 3,06.07.2021,"Yerevan, Arabkir, Gaydari","Air Conditioner(AC):No,Garage:No,Parking:No,Furniture:Yes,Appliances:Yes,Balcony:Yes,Condition:Yes"
https://akcern.am/en/property/7029,Code - 80300,For sale Apartment in Yerevan,"1,500,000 USD",Total area 370 m 2,Floor 16,Count of rooms 3,06.07.2021,"Yerevan, Downtown","Air Conditioner(AC):No,Garage:No,Parking:Yes,Furniture:No,Appliances:No,Balcony:Yes,Condition:Yes"
https://akcern.am/en/property/7333,Code - 80075,For rent Apartment in Yerevan,800 USD,Total area 140 m 2,Floor 2,Count of rooms 5,06.07.2021,"Yerevan, Zeitun, K.Ulnetsi","Air Conditioner(AC):No,Garage:No,Parking:No,Furniture:No,Appliances:No,Balcony:No,Condition:Yes"
https://akcern.am/en/property/1434,Code - 40450,For sale Apartment in Yerevan,"155,000 USD",Total area 95 m 2,Floor 6,Count of rooms 4,06.07.2021,"Yerevan, Arabkir","Air Conditioner(AC):No,Garage:No,Parking:No,Furniture:No,Appliances:No,Balcony:Yes,Condition:Yes"
https://akcern.am/en/property/7196,Code - 32056,For sale Apartment in Yerevan,"110,000 USD",Total area 91 m 2,Floor 6,Count of rooms 3,06.07.2021,"Yerevan, Arabkir, Papazian","Air Conditioner(AC):No,Garage:No,Parking:No,Furniture:No,Appliances:No,Balcony:Yes,Condition:Yes"
https://akcern.am/en/property/4203,Code - 31858,For sale Apartment in Yerevan,"60,000 USD",Total area 78 m 2,Floor 2,Count of rooms 3,06.07.2021,"Yerevan, Avan, Avan Hovhannisyan","Air Conditioner(AC):No,Garage:No,Parking:No,Furniture:No,Appliances:No,Balcony:Yes,Condition:Yes"
https://akcern.am/en/property/4975,Code - 20566,For rent Apartment in Yerevan,800 USD,Total area 72 m 2,Floor 2,Count of rooms 2,06.07.2021,"Yerevan, Downtown, Mashtots","Air Conditioner(AC):No,Garage:No,Parking:No,Furniture:No,Appliances:No,Balcony:Yes,Condition:Yes"
https://akcern.am/en/property/5333,Code - 10411,For rent Apartment in Yerevan,270 USD,Total area 45 m 2,Floor 5,Count of rooms 1,06.07.2021,"Yerevan, Arabkir, Khachatrian","Air Conditioner(AC):No,Garage:No,Parking:No,Furniture:No,Appliances:No,Balcony:Yes,Condition:Yes"
https://akcern.am/en/property/2932,Code - 10341,For rent Apartment in Yerevan,400 USD,Total area 45 m 2,Floor 3,Count of rooms 1,06.07.2021,"Yerevan, Downtown, Vardanants","Air Conditioner(AC):No,Garage:No,Parking:No,Furniture:No,Appliances:No,Balcony:No,Condition:Yes"
https://akcern.am/en/property/151,Code - 10193,For rent Apartment in Yerevan,650 USD,Total area 39 m 2,Floor 4,Count of rooms 1,06.07.2021,"Yerevan, Downtown, Mashtots","Air Conditioner(AC):No,Garage:No,Parking:No,Furniture:No,Appliances:No,Balcony:Yes,Condition:Yes"
https://akcern.am/en/property/18826,Code - 260584,For sale Apartment in Yerevan,"70,000 USD",Total area 67 m 2,Floor 5,Count of rooms 2,06.07.2021,"Yerevan, Ajapnyak","Air Conditioner(AC):No,Garage:No,Parking:No,Furniture:Yes,Appliances:Yes,Balcony:No,Condition:Yes"
https://akcern.am/en/property/6206,Code - 22133,For sale Apartment in Yerevan,"200,000 USD",Total area 72 m 2,Floor 2,Count of rooms 2,06.07.2021,"Yerevan, Downtown, Mashtots","Air Conditioner(AC):No,Garage:No,Parking:No,Furniture:No,Appliances:No,Balcony:Yes,Condition:Yes"
https://akcern.am/en/property/11026,Code - 30595,For rent Apartment in Yerevan,500 USD,Total area 75 m 2,Floor 3,Count of rooms 3,06.07.2021,"Yerevan, Arabkir, Vagharshyan","Air Conditioner(AC):Yes,Garage:No,Parking:No,Furniture:Yes,Appliances:Yes,Balcony:Yes,Condition:Yes"
https://akcern.am/en/property/18849,Code - 360613,For sale Apartment in Yerevan,"73,000 USD",Total area 81 m 2,Floor 7,Count of rooms 3,06.07.2021,"Yerevan, Avan, Acharyan","Air Conditioner(AC):Yes,Garage:No,Parking:No,Furniture:No,Appliances:No,Balcony:Yes,Condition:Yes"
