city,country,name,host_since,host_response_rate,host_identity_verified,review,superhost,property_type,accomodates,number_bathroom,number_bedroom,number_beds,rating,price,cleanliness,accuracy,communication,location,check_in,value
Yerevan,Armenia,Sweet home,2019.0,81.0,Identity verified,1.0,regular host,Entire residential home,7.0,3.5,4.0,6.0,0.0,250.0,,,,,,
Yerevan,Armenia,Yerkir eco house,2016.0,100.0,Identity verified,281.0,Super host,Entire residential home,6.0,2.0,3.0,4.0,5.0,400.0,5.0,5.0,5.0,5.0,5.0,5.0
Dzoraxbyur,Armenia,Welcome to my sweet home full of art and love !,2016.0,,Identity verified,0.0,regular host,Private room in residential home,5.0,2.0,2.0,3.0,0.0,33.0,,,,,,
Getamej,Armenia,"La Maison HAYA, Chill out 20mn from Yerevan, #1",2013.0,,Identity verified,27.0,regular host,Private room in bed and breakfast,2.0,1.0,1.0,2.0,0.0,18.0,,,,,,
Abovyan,Armenia,Home dacha,2016.0,0.0,Identity not verified,1.0,regular host,Private room in residential home,16.0,2.0,1.0,10.0,0.0,400.0,,,,,,
Alaverdi,Armenia,ARMBEE Honey Farm 2,2019.0,100.0,Identity verified,5.0,regular host,Entire chalet,2.0,1.5,1.0,2.0,5.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0
Odzun,Armenia,Private Villa at Odzun Monastery | Առանձնատուն,2015.0,100.0,Identity verified,27.0,Super host,Entire villa,6.0,2.0,2.0,4.0,5.0,13.0,5.0,5.0,5.0,5.0,5.0,5.0
Alaverdi,Armenia,Family Guest House,2016.0,100.0,Identity verified,10.0,regular host,Private room in guest suite  Hovasapyan,5.0,1.0,1.0,7.0,4.7,11.0,5.0,5.0,4.7,4.9,4.9,4.8
Alaverdi,Armenia,Old City Hotel Alaverdi,2019.0,0.0,Identity not verified,8.0,regular host,Room in hotel,7.0,4.0,4.0,8.0,4.5,10.0,4.5,3.2,4.5,4.5,4.7,5.0
Alaverdi,Armenia,Низкая цена за комфорт и чистоту,2019.0,0.0,Identity not verified,8.0,regular host,Private room in rental unit,8.0,5.0,4.0,13.0,0.0,10.0,,,,,,
Алаверди,Armenia,Приезжайте к нам отдыхать!!,2014.0,67.0,Identity not verified,5.0,regular host,Entire place,16.0,8.0,10.0,16.0,4.67,15.0,5.0,4.0,4.3,4.7,5.0,4.7
Odzun,Armenia,Em & Ri Guest House,2017.0,,Identity verified,1.0,regular host,Private room in residential home  & Ri,2.0,2.0,1.0,9.0,0.0,28.0,,,,,,
Alaverdi,Armenia,Mini House,2017.0,0.0,Identity not verified,6.0,regular host,Private room in bed and breakfast,9.0,3.0,4.0,9.0,4.0,26.0,4.2,4.0,3.8,4.2,4.0,4.2
Ararat,Armenia,IVF cottage in the mountains,2019.0,100.0,Identity not verified,3.0,regular host,Entire residential home,5.0,1.5,3.0,3.0,0.0,45.0,,,,,,
Shahumyan,Armenia,HOUSE WITH POOL 6 km from Khor Virap! Three floors.,2021.0,50.0,Identity verified,0.0,regular host,Entire residential home,7.0,1.5,3.0,5.0,0.0,140.0,,,,,,
Urtsadzor,Armenia,"Эко Центр, деревянный домик в середине леса",2016.0,67.0,Identity verified,0.0,regular host,Private room in hut,7.0,2.0,4.0,7.0,0.0,35.0,,,,,,
Urtsadzor,Armenia,Double/Twin room at the CWR - Shared Bathroom,2016.0,67.0,Identity verified,0.0,regular host,Room in bed and breakfast,10.0,2.0,4.0,10.0,0.0,50.0,,,,,,
Ararat,Armenia,Eco Lodge in the Caucasus Wildlife Refuge,2016.0,67.0,Identity verified,0.0,regular host,Room in nature lodge,16.0,2.0,4.0,8.0,0.0,35.0,,,,,,
Urtsadzor,Armenia,Double Room at the Caucasus Wildlife Refuge,2016.0,67.0,Identity verified,0.0,regular host,Shared room in chalet,16.0,2.0,1.0,1.0,0.0,35.0,,,,,,
Yerevan,Armenia,КВАРТИРА В ЭЛИТНОМ ДОМЕ. ELITE APARTMENT,2018.0,100.0,Identity verified,97.0,Super host,Entire rental unit,2.0,1.0,1.0,1.0,4.99,26.0,4.9,5.0,5.0,4.9,5.0,4.9
Yerevan,Armenia,➤ One BDR apt. with balcony ★ on Moskovyan str.#28,2020.0,95.0,Identity verified,191.0,Super host,Entire rental unit  Inn,3.0,1.0,1.0,1.0,4.8,48.0,4.8,5.0,5.0,5.0,4.9,4.7
Yerevan,Armenia,Moris&Sona house,2014.0,100.0,Identity verified,395.0,Super host,Entire guesthouse,2.0,1.0,1.0,2.0,4.84,14.0,4.8,5.0,5.0,4.7,4.9,4.9
Yerevan,Armenia,The loft apartment in front of the Central Bank,2015.0,100.0,Identity verified,152.0,regular host,Entire loft,3.0,2.5,1.0,2.0,5.0,45.0,4.7,5.0,5.0,5.0,4.7,4.7
Yerevan,Armenia,Quiet apartment in the city center,2014.0,100.0,Identity verified,137.0,Super host,Entire rental unit,2.0,1.0,1.0,1.0,4.97,24.0,5.0,5.0,5.0,4.9,5.0,4.9
Yerevan,Armenia,Sunny apartment,2018.0,100.0,Identity not verified,39.0,Super host,Entire rental unit,3.0,1.0,0.0,2.0,4.75,15.0,4.7,4.9,4.9,4.8,5.0,4.9
Yerevan,Armenia,Comfort apartment,2018.0,100.0,Identity not verified,39.0,Super host,Entire rental unit,3.0,1.0,1.0,2.0,5.0,14.0,5.0,4.8,5.0,4.5,5.0,4.7
Yerevan,Armenia,brand new 1 bedroom apartment in komitas,2019.0,100.0,Identity verified,7.0,regular host,Entire rental unit,2.0,1.0,1.0,1.0,4.57,19.0,4.6,4.6,4.9,4.4,5.0,4.6
Yerevan,Armenia,"COZY STUDIO NEAR OPERA, UNBEATABLE LOCATION :)",2017.0,95.0,Identity verified,333.0,Super host,Entire rental unit,2.0,1.0,0.0,1.0,4.93,22.0,5.0,5.0,5.0,4.9,5.0,4.9
Yerevan,Armenia,Stylish 1 BDR on Abovyan street,2020.0,95.0,Identity verified,69.0,Super host,Entire rental unit,3.0,1.0,1.0,1.0,4.91,58.0,4.7,4.5,4.5,5.0,4.6,4.8
Yerevan,Armenia,Apartment & Tours for your safe rest,2017.0,100.0,Identity verified,47.0,regular host,Entire rental unit,4.0,1.0,1.0,1.0,5.0,25.0,5.0,5.0,5.0,4.3,4.7,5.0
Yerevan,Armenia,➤ Fifty Shades of Gray ❤︎ on Yekmalyan Str. #1,2020.0,95.0,Identity verified,191.0,Super host,Entire rental unit  Inn,3.0,1.0,0.0,1.0,5.0,61.0,5.0,5.0,5.0,5.0,5.0,5.0
Yerevan,Armenia,➤ Panoramic One BDR ★ Buzand Str. #17,2020.0,95.0,Identity verified,191.0,Super host,Entire rental unit  Inn,3.0,1.0,1.0,1.0,5.0,53.0,4.8,4.9,4.9,5.0,4.9,4.8
Yerevan,Armenia,Комитас,2019.0,100.0,Identity verified,31.0,Super host,Entire rental unit,2.0,1.0,1.0,1.0,4.97,19.0,4.9,5.0,5.0,4.8,4.9,4.9
Yerevan,Armenia,Rent home . Transfer .... Cognac and vine free,2019.0,100.0,Identity not verified,1.0,regular host,Entire rental unit  Авет,4.0,1.0,2.0,2.0,0.0,20.0,,,,,,
Yerevan,Armenia,Yerevan Station Apartment,2017.0,,Identity not verified,14.0,Super host,Entire serviced apartment,3.0,1.0,1.0,1.0,4.92,22.0,4.9,5.0,4.9,4.5,4.8,4.8
Baghramyan,Armenia,"Дом...милый дом,рядом с Ереваном,free transfer,SIM",2019.0,100.0,Identity verified,13.0,Super host,Entire residential home,8.0,1.0,2.0,4.0,0.0,48.0,,,,,,
Yerevan,Armenia,➤ Panoramic One BDR ★ Buzand Str. #17,2020.0,95.0,Identity verified,191.0,Super host,Entire rental unit  Inn,3.0,1.0,1.0,1.0,5.0,53.0,4.8,4.9,4.9,5.0,4.9,4.8
Yerevan,Armenia,Lovely 2-bedroom rental with hot hub in the center,2020.0,100.0,Identity verified,0.0,regular host,Entire rental unit,4.0,2.0,2.0,2.0,0.0,24.0,,,,,,
Yerevan,Armenia,Rent home . Transfer .... Cognac and vine free,2019.0,100.0,Identity not verified,1.0,regular host,Entire rental unit  Авет,4.0,1.0,2.0,2.0,0.0,20.0,,,,,,
Yerevan,Armenia,Стильная квартира с видом на Арарат.,2019.0,100.0,Identity not verified,18.0,regular host,Entire rental unit,4.0,1.0,1.0,2.0,5.0,29.0,4.9,5.0,5.0,4.8,5.0,5.0
Yerevan,Armenia,Уютная квартира в центре Еревана,2017.0,100.0,Identity verified,60.0,regular host,Entire rental unit,4.0,1.0,1.0,1.0,0.0,35.0,,,,,,
