city,country,name,host_since,host_response_rate,host_identity_verified,review,superhost,property_type,accomodates,number_bathroom,number_bedroom,number_beds,rating,price,cleanliness,accuracy,communication,location,check_in,value
Tsaghkadzor,Armenia,Snowdrop ❤ of Tsaghkadzor ✔ Self Checkin ✔ Balcony,2016.0,100.0,Identity verified,240.0,Super host,Entire condominium (condo),3.0,1.0,1.0,1.0,5.0,50.0,5.0,5.0,5.0,5.0,5.0,5.0
Dilijan,Armenia,Cosy and comfortable apartment with a great view,2018.0,100.0,Identity verified,26.0,Super host,Entire rental unit,4.0,2.0,1.0,1.0,4.96,69.0,5.0,5.0,5.0,4.9,5.0,4.9
Baghramyan,Armenia,"Green paradise near Yerevan,free transfer,SIM cart",2019.0,100.0,Identity verified,13.0,Super host,Entire residential home,8.0,2.5,2.0,3.0,5.0,106.0,4.8,4.9,5.0,5.0,5.0,4.9
Vagharshapat,Armenia,Art home,2019.0,89.0,Identity verified,6.0,regular host,Entire rental unit,2.0,1.0,1.0,2.0,5.0,14.0,4.7,5.0,5.0,5.0,5.0,5.0
Tegher,Armenia,Гостьевой домик в горах села Тегер,2015.0,50.0,Identity not verified,26.0,regular host,Entire guest suite,3.0,1.0,1.0,2.0,4.83,25.0,4.8,4.8,4.7,4.8,5.0,4.8
Dilijan,Armenia,Guesthouse 121,2019.0,100.0,Identity verified,30.0,Super host,Hut,2.0,1.0,1.0,2.0,5.0,35.0,5.0,4.9,5.0,4.8,5.0,4.9
Yerevan,Armenia,КВАРТИРА В ЭЛИТНОМ ДОМЕ. ELITE APARTMENT,2018.0,100.0,Identity verified,97.0,Super host,Entire rental unit,2.0,1.0,1.0,1.0,4.99,26.0,4.9,5.0,5.0,4.9,5.0,4.9
Tsaghkadzor,Armenia,Hillside Apartment Tsaghkadzor,2018.0,100.0,Identity verified,7.0,regular host,Entire rental unit,5.0,1.5,1.0,1.0,5.0,25.0,5.0,5.0,5.0,5.0,5.0,5.0
Gyumri,Armenia,Modern apartment in Gyumri,2013.0,100.0,Identity verified,78.0,Super host,Entire bed and breakfast,3.0,1.0,0.0,3.0,4.94,27.0,4.9,5.0,5.0,4.8,5.0,4.8
Odzun,Armenia,Private Villa at Odzun Monastery | Առանձնատուն,2015.0,100.0,Identity verified,27.0,Super host,Entire villa,6.0,2.0,2.0,4.0,5.0,13.0,5.0,5.0,5.0,5.0,5.0,5.0
Gyumri,Armenia,Современная и комфортабельная квартира,2019.0,100.0,Identity not verified,7.0,regular host,Entire rental unit,2.0,1.0,1.0,,4.57,25.0,4.3,4.9,4.3,4.4,4.7,4.6
Yerevan,Armenia,➤ One BDR apt. with balcony ★ on Moskovyan str.#28,2020.0,94.0,Identity verified,189.0,Super host,Entire rental unit  Inn,3.0,1.0,1.0,1.0,4.78,48.0,4.8,5.0,5.0,5.0,4.9,4.7
Yerevan,Armenia,The loft apartment in front of the Central Bank,2015.0,100.0,Identity verified,152.0,regular host,Entire loft,3.0,2.5,1.0,2.0,5.0,45.0,4.7,5.0,5.0,5.0,4.7,4.7
Dzorakap,Armenia,Apple Tree Family House(семейный люкс),2019.0,100.0,Identity verified,1.0,regular host,Entire residential home,6.0,1.0,3.0,8.0,0.0,60.0,,,,,,
Baghramyan,Armenia,"Дом...милый дом,рядом с Ереваном,free transfer,SIM",2019.0,100.0,Identity verified,13.0,Super host,Entire residential home,8.0,1.0,2.0,4.0,0.0,48.0,,,,,,
Dilijan,Armenia,Dilijan Town Inn,2015.0,100.0,Identity verified,84.0,regular host,Entire residential home,6.0,1.5,2.0,3.0,4.85,35.0,4.8,4.8,4.9,5.0,4.8,4.8
Dilijan,Armenia,Jermatun Rustic Wooden Cottage,2021.0,100.0,Identity verified,4.0,regular host,Entire guest suite,6.0,1.0,2.0,4.0,5.0,114.0,5.0,5.0,5.0,5.0,5.0,5.0
Yerevan,Armenia,➤ One BDR apt. with balcony ★ on Moskovyan str.#28,2020.0,94.0,Identity verified,189.0,Super host,Entire rental unit  Inn,3.0,1.0,1.0,1.0,4.78,48.0,4.8,5.0,5.0,5.0,4.9,4.7
Yerevan,Armenia,NEW Apartment in the City Center (KTUR apartments),2016.0,100.0,Identity verified,186.0,Super host,Entire rental unit,3.0,1.0,1.0,1.0,4.94,53.0,5.0,5.0,5.0,5.0,4.9,4.9
Dilijan,Armenia,Dilijan Cottage,2014.0,100.0,Identity verified,18.0,Super host,Entire cottage,4.0,1.0,2.0,4.0,5.0,65.0,4.9,5.0,4.9,5.0,4.9,4.8
Yerevan,Armenia,КВАРТИРА В ЭЛИТНОМ ДОМЕ. ELITE APARTMENT,2018.0,100.0,Identity verified,97.0,Super host,Entire rental unit,2.0,1.0,1.0,1.0,4.99,26.0,4.9,5.0,5.0,4.9,5.0,4.9
Yerevan,Armenia,➤ Fifty Shades of Gray ❤︎ on Yekmalyan Str. #1,2020.0,94.0,Identity verified,189.0,Super host,Entire rental unit  Inn,3.0,1.0,0.0,1.0,5.0,62.0,5.0,5.0,5.0,5.0,5.0,5.0
Dilijan,Armenia,"""Petit Dilijan - Spring""",2014.0,,Identity not verified,31.0,regular host,Entire guesthouse,2.0,1.0,1.0,2.0,0.0,21.0,,,,,,
Gyumri,Armenia,Современная и комфортабельная квартира,2019.0,100.0,Identity not verified,7.0,regular host,Entire rental unit,2.0,1.0,1.0,,4.57,25.0,4.3,4.9,4.3,4.4,4.7,4.6
Yerevan,Armenia,1 BDR with nice View on Koghbatsi 16,2020.0,97.0,Identity verified,174.0,Super host,Entire rental unit,4.0,1.0,1.0,1.0,4.93,63.0,4.8,4.9,5.0,5.0,4.9,4.9
Yerevan,Armenia,❤ of Opera ✔ Netflix ✔ Balcony ✔ Self Check-In,2016.0,100.0,Identity verified,240.0,Super host,Entire rental unit,4.0,1.0,2.0,3.0,5.0,54.0,4.7,4.8,5.0,5.0,5.0,4.8
Yerevan,Armenia,♥ of Yerevan ✔ Self Checkin ✔ Balcony ✔ Smoking,2016.0,100.0,Identity verified,240.0,Super host,Entire rental unit,4.0,1.0,1.0,1.0,4.95,39.0,4.9,4.9,5.0,4.9,5.0,4.8
Yerevan,Armenia,Lovely 2-bedroom rental with hot hub in the center,2020.0,100.0,Identity verified,0.0,regular host,Entire rental unit,4.0,2.0,2.0,2.0,0.0,24.0,,,,,,
Yerevan,Armenia,Stylish 1 BDR on Abovyan street,2020.0,95.0,Identity verified,68.0,Super host,Entire rental unit,3.0,1.0,1.0,1.0,5.0,58.0,4.9,4.7,4.7,5.0,4.6,4.9
