city,country,name,host_since,host_response_rate,host_identity_verified,review,superhost,property_type,accomodates,number_bathroom,number_bedroom,number_beds,rating,price,cleanliness,accuracy,communication,location,check_in,value
Yerevan,Armenia,➤ One BDR apt. with balcony ★ on Moskovyan str.#28,2020.0,95.0,Identity verified,191.0,Super host,Entire rental unit  Inn,3.0,1.0,1.0,1.0,4.8,48.0,4.8,5.0,5.0,5.0,4.9,4.7
Yerevan,Armenia,The loft apartment in front of the Central Bank,2015.0,100.0,Identity verified,152.0,regular host,Entire loft,3.0,2.5,1.0,2.0,5.0,45.0,4.7,5.0,5.0,5.0,4.7,4.7
Yerevan,Armenia,Cozy house close to the centre,2016.0,100.0,Identity verified,122.0,Super host,Entire residential home,2.0,1.0,0.0,1.0,4.95,16.0,4.9,5.0,5.0,4.9,5.0,4.9
Yerevan,Armenia,КВАРТИРА В ЭЛИТНОМ ДОМЕ. ELITE APARTMENT,2018.0,100.0,Identity verified,97.0,Super host,Entire rental unit,2.0,1.0,1.0,1.0,4.99,26.0,4.9,5.0,5.0,4.9,5.0,4.9
Yerevan,Armenia,Comfort apartment,2018.0,100.0,Identity not verified,39.0,Super host,Entire rental unit,3.0,1.0,1.0,2.0,5.0,14.0,5.0,4.8,5.0,4.5,5.0,4.7
Yerevan,Armenia,Beautiful room with a private bathroom!,2015.0,100.0,Identity verified,74.0,Super host,Private room in residential home,2.0,1.0,1.0,1.0,4.93,10.0,4.9,5.0,5.0,4.8,5.0,5.0
Yerevan,Armenia,Stylish 1 BDR on Abovyan street,2020.0,95.0,Identity verified,69.0,Super host,Entire rental unit,3.0,1.0,1.0,1.0,4.91,58.0,4.7,4.5,4.5,5.0,4.6,4.8
Yerevan,Armenia,★Urban Luxury Oasis★Near Republic Square,2018.0,100.0,Identity not verified,110.0,Super host,Entire rental unit,2.0,1.0,0.0,1.0,4.95,38.0,5.0,4.9,5.0,5.0,5.0,4.8
Yerevan,Armenia,❃ Studio Lily ✔ Self Checkin ✔ Garden ✔ BBQ,2016.0,100.0,Identity verified,241.0,Super host,Entire rental unit,2.0,1.0,0.0,2.0,5.0,25.0,5.0,5.0,5.0,5.0,5.0,5.0
Yerevan,Armenia,Yerevan4you Terrace,2018.0,100.0,Identity verified,193.0,Super host,Entire rental unit,4.0,1.0,1.0,2.0,5.0,75.0,5.0,5.0,5.0,5.0,5.0,5.0
Yerevan,Armenia,"COZY STUDIO NEAR OPERA, UNBEATABLE LOCATION :)",2017.0,95.0,Identity verified,333.0,Super host,Entire rental unit,2.0,1.0,0.0,1.0,4.93,22.0,5.0,5.0,5.0,4.9,5.0,4.9
Yerevan,Armenia,1 BDR with nice View on Koghbatsi 16,2020.0,98.0,Identity verified,175.0,Super host,Entire rental unit,4.0,1.0,1.0,1.0,4.93,63.0,4.8,4.9,5.0,5.0,4.9,4.9
Yerevan,Armenia,Sunny apartment,2018.0,100.0,Identity not verified,39.0,Super host,Entire rental unit,3.0,1.0,0.0,2.0,4.75,15.0,4.7,4.9,4.9,4.8,5.0,4.9
