city,country,name,host_since,host_response_rate,host_identity_verified,review,superhost,property_type,accomodates,number_bathroom,number_bedroom,number_beds,rating,price,cleanliness,accuracy,communication,location,check_in,value
Ashtarak,Armenia,Beautiful Ashtarak,2020.0,33.0,Identity verified,0.0,regular host,Entire rental unit,3.0,1.0,2.0,2.0,0.0,10.0,,,,,,
Tegher,Armenia,Гостьевой домик в горах села Тегер,2015.0,50.0,Identity not verified,26.0,regular host,Entire guest suite,3.0,1.0,1.0,2.0,4.83,25.0,4.8,4.8,4.7,4.8,5.0,4.8
Ashtarak,Armenia,The House with the Mezzanine - Дом с мезонином,2017.0,100.0,Identity verified,5.0,regular host,Private room in residential home,4.0,1.0,2.0,4.0,4.2,21.0,3.2,4.0,4.2,3.6,4.0,4.2
Baghramyan,Armenia,"Green paradise near Yerevan,free transfer,SIM cart",2019.0,100.0,Identity verified,13.0,Super host,Entire residential home,8.0,2.5,2.0,3.0,5.0,106.0,4.8,4.9,5.0,5.0,5.0,4.9
Vagharshapat,Armenia,Art home,2019.0,89.0,Identity verified,6.0,regular host,Entire rental unit,2.0,1.0,1.0,2.0,5.0,14.0,4.7,5.0,5.0,5.0,5.0,5.0
Voskevaz,Armenia,Armenian Village Corner and Tours,2015.0,50.0,Identity not verified,128.0,regular host,Entire residential home  Apartment & Tours,5.0,1.0,2.0,6.0,5.0,45.0,5.0,5.0,5.0,5.0,5.0,5.0
Yerevan,Armenia,Moris&Sona house,2014.0,100.0,Identity verified,395.0,Super host,Entire guesthouse,2.0,1.0,1.0,2.0,4.84,14.0,4.8,5.0,5.0,4.7,4.9,4.9
Yerevan,Armenia,Стильная квартира с видом на Арарат.,2019.0,100.0,Identity not verified,18.0,regular host,Entire rental unit,4.0,1.0,1.0,2.0,5.0,29.0,4.9,5.0,5.0,4.8,5.0,5.0
Parpi,Armenia,Villa Mimi,2015.0,100.0,Identity verified,0.0,regular host,Private room in residential home,2.0,1.5,1.0,2.0,0.0,12.0,,,,,,
Yerevan,Armenia,Comfort apartment,2018.0,100.0,Identity not verified,39.0,Super host,Entire rental unit,3.0,1.0,1.0,2.0,5.0,14.0,5.0,4.8,5.0,4.5,5.0,4.7
Yerevan,Armenia,#4 apartment!,2017.0,100.0,Identity verified,47.0,regular host,Entire rental unit,2.0,1.0,0.0,2.0,5.0,21.0,5.0,5.0,5.0,4.8,5.0,5.0
Yerevan,Armenia,Modern Condo with view of Mount Ararat!,2018.0,100.0,Identity not verified,8.0,Super host,Entire condominium (condo),2.0,1.0,1.0,1.0,4.86,20.0,5.0,4.9,5.0,4.9,5.0,4.9
Yerevan,Armenia,➤ Modern One BDR ★ by Dalma Mall,2020.0,94.0,Identity verified,189.0,Super host,Entire rental unit  Inn,3.0,1.0,1.0,1.0,5.0,52.0,4.9,4.9,4.8,4.9,4.8,4.8
Baghramyan,Armenia,"Дом...милый дом,рядом с Ереваном,free transfer,SIM",2019.0,100.0,Identity verified,13.0,Super host,Entire residential home,8.0,1.0,2.0,4.0,0.0,48.0,,,,,,
Yerevan,Armenia,➤ Next to Dalma Mall ★ Two BDR Apartment,2020.0,94.0,Identity verified,189.0,Super host,Entire rental unit  Inn,5.0,1.0,2.0,2.0,5.0,54.0,5.0,5.0,5.0,5.0,5.0,5.0
Yerevan,Armenia,Идеальные Апартаменты Ideal Apartments,2021.0,100.0,Identity verified,5.0,regular host,Entire residential home,4.0,1.0,1.0,2.0,5.0,30.0,5.0,5.0,5.0,4.0,5.0,5.0
Yerevan,Armenia,Уютная квартира около станции метро,2019.0,100.0,Identity verified,11.0,regular host,Entire rental unit,2.0,1.0,1.0,1.0,5.0,25.0,4.9,5.0,5.0,4.9,5.0,4.9
Yerevan,Armenia,Kievyan Bridge Luxury View Loft,2018.0,100.0,Identity verified,27.0,Super host,Entire rental unit,4.0,1.0,1.0,3.0,5.0,34.0,5.0,5.0,5.0,4.8,5.0,4.9
Yerevan,Armenia,"Studio apartment with balcony, 10min from center",2018.0,100.0,Identity verified,17.0,regular host,Entire loft,3.0,1.0,0.0,2.0,4.76,21.0,4.7,4.9,5.0,4.8,4.9,4.8
Parpi,Armenia,Villa Mimi,2015.0,100.0,Identity verified,0.0,regular host,Private room in residential home,2.0,1.5,1.0,2.0,0.0,12.0,,,,,,
Vagharshapat,Armenia,THE HEAVEN ECHMIADZIN,2014.0,100.0,Identity verified,7.0,regular host,Entire residential home,6.0,1.0,2.0,2.0,5.0,27.0,4.8,4.8,5.0,5.0,5.0,5.0
Yerevan,Armenia,Lenin apartment,2015.0,100.0,Identity verified,219.0,Super host,Entire rental unit,4.0,1.5,1.0,4.0,4.91,37.0,4.9,4.9,4.8,4.4,4.9,4.8
Yerevan,Armenia,2-BDR with Aragats View at RIS Dalma Collection,2014.0,100.0,Identity verified,536.0,Super host,Entire serviced apartment,6.0,1.0,2.0,3.0,5.0,94.0,5.0,4.9,5.0,4.7,5.0,4.9
Yerevan,Armenia,Fancy Loft with Terrace at RIS Dalma Collection,2014.0,100.0,Identity verified,536.0,Super host,Entire serviced apartment,4.0,1.0,1.0,2.0,5.0,103.0,5.0,5.0,4.9,4.9,5.0,4.8
Yerevan,Armenia,Cozy apartment in Yerevan,2015.0,100.0,Identity not verified,21.0,Super host,Entire rental unit,4.0,1.0,1.0,2.0,5.0,19.0,5.0,5.0,5.0,4.8,5.0,5.0
Aghdzk,Armenia,Private Guesthouse in Historic Village,2018.0,,Identity not verified,4.0,regular host,Private room in residential home,5.0,1.0,2.0,5.0,5.0,50.0,5.0,5.0,5.0,5.0,5.0,5.0
Yerevan,Armenia,Comfortable apartments with positive owners),2021.0,100.0,Identity verified,5.0,regular host,Entire residential home,4.0,1.0,1.0,2.0,0.0,30.0,,,,,,
Yerevan,Armenia,Fashionable APRT for 4prs at RIS Dalma Collection,2014.0,100.0,Identity verified,536.0,Super host,Entire serviced apartment,4.0,1.0,1.0,3.0,4.93,84.0,5.0,5.0,4.9,4.7,4.7,4.7
Yerevan,Armenia,Прекрасным видом квартира в городе Ереван,2021.0,25.0,Identity verified,0.0,regular host,Entire rental unit,4.0,0.5,2.0,0.0,0.0,10.0,,,,,,
Aghdzk,Armenia,Private Guesthouse in Historic Village,2018.0,,Identity not verified,4.0,regular host,Private room in residential home,5.0,1.0,2.0,5.0,5.0,50.0,5.0,5.0,5.0,5.0,5.0,5.0
Yerevan,Armenia,Leningradyan New building apartment,2015.0,100.0,Identity verified,152.0,regular host,Entire chalet,3.0,1.0,1.0,1.0,4.33,28.0,4.7,5.0,5.0,4.7,5.0,5.0
Yerevan,Armenia,Современная квартира в Ереване,2017.0,100.0,Identity verified,60.0,regular host,Entire rental unit,5.0,1.0,3.0,4.0,0.0,35.0,,,,,,
Yerevan,Armenia,➤ 12th floor Two BDR nearby Dalma Mall,2020.0,94.0,Identity verified,189.0,Super host,Entire rental unit  Inn,5.0,1.0,2.0,2.0,4.38,55.0,4.9,4.8,4.6,4.8,4.8,4.6
Yerevan,Armenia,COMFORTABLE APARTMENTS,2021.0,100.0,Identity verified,5.0,regular host,Entire residential home,4.0,1.0,1.0,2.0,0.0,30.0,,,,,,
Yerevan,Armenia,RELAX and COMFORT,2021.0,100.0,Identity verified,5.0,regular host,Entire serviced apartment,4.0,1.5,1.0,2.0,0.0,27.0,,,,,,
Yerevan,Armenia,Kvartira po sutchni,2018.0,0.0,Identity verified,3.0,regular host,Entire rental unit,6.0,1.0,2.0,1.0,0.0,25.0,,,,,,
Yerevan,Armenia,Lovely apartment in the New building,2017.0,69.0,Identity verified,21.0,regular host,Entire rental unit,5.0,2.0,2.0,3.0,0.0,50.0,,,,,,
Yerevan,Armenia,Уютный гостевой дом,2016.0,100.0,Identity verified,4.0,regular host,Entire guesthouse,3.0,1.5,1.0,2.0,0.0,26.0,,,,,,
Yerevan,Armenia,Stylish 1-BDR Apartment at RIS Dalma Collection,2014.0,100.0,Identity verified,536.0,Super host,Entire serviced apartment,4.0,1.0,1.0,1.0,4.79,84.0,4.8,4.9,4.9,4.9,4.9,4.8
Yerevan,Armenia,Уютно и мило как дома! Comfy & nice like at home!,2016.0,91.0,Identity not verified,26.0,Super host,Entire rental unit,3.0,1.5,1.0,2.0,4.8,19.0,5.0,5.0,5.0,4.9,5.0,5.0
Yerevan,Armenia,LUXURY City Living - DISINFECTED + Guide-Driver,2017.0,100.0,Identity verified,130.0,Super host,Entire rental unit,8.0,1.5,3.0,7.0,5.0,57.0,5.0,5.0,5.0,4.9,5.0,5.0
Yerevan,Armenia,2-к кв. рядом с МЦ АСТХИК/2 r flat near MC ASTKHIK,2016.0,91.0,Identity not verified,26.0,Super host,Entire rental unit,4.0,1.5,2.0,3.0,0.0,24.0,,,,,,
Yerevan,Armenia,Yerevan Home with a yoga hammock,2018.0,83.0,Identity verified,0.0,regular host,Entire rental unit,5.0,1.0,1.0,3.0,0.0,17.0,,,,,,
Vagharshapat,Armenia,Large two-floor house with swimming pool,2014.0,,Identity verified,0.0,regular host,Entire villa,8.0,2.0,3.0,6.0,0.0,110.0,,,,,,
Yerevan,Armenia,Stylish 1-BDR Apartment at RIS Dalma Collection,2014.0,100.0,Identity verified,536.0,Super host,Entire serviced apartment,4.0,1.0,1.0,1.0,4.79,84.0,4.8,4.9,4.9,4.9,4.9,4.8
Yerevan,Armenia,комната 102,2019.0,,Identity verified,0.0,regular host,Room in hotel,2.0,1.0,1.0,1.0,0.0,21.0,,,,,,
Yerevan,Armenia,Entire appartment in Yerevan,2014.0,80.0,Identity verified,47.0,regular host,Entire rental unit,3.0,1.0,1.0,3.0,4.79,20.0,4.8,4.8,4.9,4.7,4.8,4.8
Yerevan,Armenia,Kvartira po sutochno,2018.0,0.0,Identity verified,3.0,regular host,Entire rental unit,6.0,1.0,2.0,0.0,0.0,25.0,,,,,,
Ashtarak,Armenia,LIBERAL WHITE HOUSE,2012.0,,Identity verified,5.0,regular host,Entire residential home,7.0,1.0,3.0,5.0,0.0,150.0,,,,,,
Yerevan,Armenia,Inga Hotel Yerevan Number 204,2018.0,90.0,Identity verified,10.0,regular host,Room in hotel  Hotel Yerevan,2.0,1.0,1.0,1.0,5.0,35.0,5.0,5.0,4.8,4.6,5.0,4.8
Yerevan,Armenia,ALEM HOTEL,2021.0,100.0,Identity verified,2.0,regular host,Room in hotel,7.0,3.0,6.0,15.0,0.0,31.0,,,,,,
Aragatsotn,Armenia,Byurakan Guesthouse - Double Room (3),2019.0,100.0,Identity verified,0.0,regular host,Room in hotel,3.0,1.0,0.0,2.0,0.0,39.0,,,,,,
Vagharshapat,Armenia,RICHMIND HOTEL- в гормонии с мыслями,2019.0,,Identity verified,0.0,regular host,Room in hotel,1.0,1.0,1.0,1.0,0.0,20.0,,,,,,
Yerevan,Armenia,Studio,2016.0,100.0,Identity verified,10.0,regular host,Entire rental unit,2.0,1.0,1.0,2.0,5.0,20.0,5.0,5.0,5.0,5.0,5.0,5.0
Aragatsotn,Armenia,Byurakan Guesthouse - Room with a view (2),2019.0,100.0,Identity verified,0.0,regular host,Room in hotel,3.0,1.0,0.0,2.0,0.0,45.0,,,,,,
Yerevan,Armenia,Comfortable house in Yerevan!,2017.0,100.0,Identity not verified,8.0,regular host,Entire residential home,6.0,1.0,2.0,2.0,4.71,28.0,4.4,4.7,4.9,4.6,4.9,4.9
