city,country,name,host_since,host_response_rate,host_identity_verified,review,superhost,property_type,accomodates,number_bathroom,number_bedroom,number_beds,rating,price,cleanliness,accuracy,communication,location,check_in,value
Aghavnavank,Armenia,Forest hut,2019.0,100.0,Identity verified,12.0,Super host,Entire cabin,3.0,1.5,1.0,2.0,5.0,25.0,4.7,4.7,5.0,5.0,4.9,4.8
Sevan,Armenia,Rest in Sevan geghama ashxarh,2020.0,100.0,Identity not verified,2.0,regular host,Entire villa,4.0,1.0,1.0,2.0,0.0,140.0,,,,,,
Sevan,Armenia,Sevan Shore Apartment,2018.0,80.0,Identity not verified,7.0,regular host,Entire rental unit,5.0,1.0,2.0,4.0,4.43,60.0,3.9,4.3,5.0,4.3,4.7,4.1
Sevan,Armenia,Aurum Trip Guest House with a great view,2020.0,,Identity verified,0.0,regular host,Private room in residential home,5.0,1.0,2.0,2.0,0.0,13.0,,,,,,
Sevan,Armenia,Writers' Holiday Home (Sevan Peninsula),2017.0,100.0,Identity verified,24.0,regular host,Room in boutique hotel,4.0,1.0,1.0,4.0,4.43,44.0,3.9,4.7,4.6,5.0,5.0,4.4
Kalavan,Armenia,Large Country House with lovely views for 6 people,2016.0,100.0,Identity verified,9.0,regular host,Entire residential home,8.0,1.0,2.0,5.0,5.0,65.0,5.0,4.7,5.0,4.7,5.0,5.0
Sevan,Armenia,Modern cottage in the national park and near Lake,2018.0,100.0,Identity verified,2.0,regular host,Entire residential home,6.0,2.0,3.0,4.0,0.0,64.0,,,,,,
Kalavan,Armenia,Private room for couple with magical view,2019.0,100.0,Identity verified,3.0,regular host,Private room in residential home,2.0,1.0,1.0,1.0,0.0,40.0,,,,,,
Yerevan,Armenia,Charming cottage by the lake Sevan 6/6,2015.0,100.0,Identity not verified,28.0,regular host,Entire cottage,6.0,1.0,2.0,3.0,4.13,25.0,3.9,4.4,4.2,4.4,4.7,3.9
Kalavan,Armenia,Private room for couple with magical view,2019.0,100.0,Identity verified,3.0,regular host,Private room in residential home,2.0,1.0,1.0,1.0,0.0,40.0,,,,,,
Gosh,Armenia,GoshDream Guesthouse,2018.0,100.0,Identity not verified,5.0,regular host,Private room in villa,8.0,3.5,4.0,6.0,4.2,30.0,5.0,4.2,4.2,5.0,5.0,4.2
Gosh,Armenia,The best ECO place in Armenia-Belveder Eco Resort,2019.0,100.0,Identity not verified,3.0,regular host,Room in hotel,5.0,1.0,2.0,3.0,4.0,50.0,5.0,4.7,4.7,4.7,5.0,4.3
Kalavan,Armenia,Bright and Stylish House in Kalavan,2016.0,100.0,Identity verified,9.0,regular host,Private room in residential home,2.0,1.0,1.0,2.0,5.0,24.0,4.8,5.0,5.0,5.0,5.0,5.0
Ijevan,Armenia,Apartment Kamar N26,2018.0,100.0,Identity not verified,9.0,regular host,Entire residential home,3.0,1.0,1.0,2.0,0.0,40.0,,,,,,
Norashen,Armenia,Summer Home - Lake Sevan,2021.0,100.0,Identity verified,0.0,regular host,Entire cottage,7.0,1.5,3.0,5.0,0.0,91.0,,,,,,
Getahovit,Armenia,The best outdoor adventures,2018.0,75.0,Identity not verified,4.0,regular host,Treehouse,1.0,1.0,1.0,1.0,0.0,20.0,,,,,,
Noratus,Armenia,Oazis a place for a real holiday. Big room,2019.0,100.0,Identity not verified,1.0,regular host,Room in hotel,7.0,1.5,2.0,2.0,0.0,13.0,,,,,,
