city,country,name,host_since,host_response_rate,host_identity_verified,review,superhost,property_type,accomodates,number_bathroom,number_bedroom,number_beds,rating,price,cleanliness,accuracy,communication,location,check_in,value
Dilijan,Armenia,Cosy and comfortable apartment with a great view,2018.0,100.0,Identity verified,26.0,Super host,Entire rental unit,4.0,2.0,1.0,1.0,4.96,70.0,5.0,5.0,5.0,4.9,5.0,4.9
Dilijan,Armenia,Dilijan Town Inn,2015.0,100.0,Identity verified,85.0,regular host,Entire residential home,6.0,1.5,2.0,3.0,4.85,35.0,4.8,4.8,4.9,5.0,4.8,4.8
Dilijan,Armenia,Apartment in Dilijan,2019.0,100.0,Identity verified,44.0,Super host,Entire rental unit,4.0,1.0,1.0,1.0,5.0,36.0,5.0,5.0,5.0,5.0,5.0,5.0
Dilijan,Armenia,Armenian village house in Dilijan,2019.0,100.0,Identity verified,42.0,regular host,Entire residential home,6.0,1.5,2.0,3.0,4.63,19.0,4.6,4.6,4.8,4.6,4.8,4.6
Dilijan,Armenia,Dilijan lovely apartment,2016.0,100.0,Identity verified,1.0,Super host,Entire rental unit,4.0,1.0,1.0,1.0,4.98,30.0,5.0,5.0,5.0,4.8,5.0,4.9
Dilijan,Armenia,Dilijan Nice View,2017.0,100.0,Identity not verified,9.0,regular host,Entire rental unit,5.0,1.0,2.0,5.0,4.89,33.0,5.0,5.0,5.0,5.0,5.0,4.8
Dilijan,Armenia,#House in Dilijan,2017.0,100.0,Identity not verified,20.0,regular host,Entire rental unit,3.0,1.0,2.0,3.0,4.7,20.0,4.8,4.8,5.0,4.7,5.0,4.6
Dilijan,Armenia,Jermatun Rustic Wooden Cottage,2021.0,100.0,Identity verified,4.0,regular host,Entire guest suite,6.0,1.0,2.0,4.0,5.0,114.0,5.0,5.0,5.0,5.0,5.0,5.0
Dilijan,Armenia,B&B Old Dili Cottage,2016.0,100.0,Identity not verified,154.0,Super host,Private room in bed and breakfast,3.0,1.0,1.0,2.0,4.82,43.0,4.7,5.0,5.0,4.9,5.0,4.6
Dilijan,Armenia,Guesthouse 121,2019.0,100.0,Identity verified,30.0,Super host,Hut,2.0,1.0,1.0,2.0,5.0,35.0,5.0,4.9,5.0,4.8,5.0,4.9
Dilijan,Armenia,Dilijan Cottage,2014.0,100.0,Identity verified,18.0,Super host,Entire cottage,4.0,1.0,2.0,4.0,5.0,65.0,4.9,5.0,4.9,5.0,4.9,4.8
Dilijan,Armenia,B&B OLD DILI,2016.0,100.0,Identity not verified,154.0,Super host,Private room in bed and breakfast,4.0,1.0,1.0,2.0,4.68,11.0,4.9,4.9,4.9,5.0,5.0,4.8
Teghut,Armenia,AURORA Villas,2017.0,100.0,Identity not verified,12.0,Super host,Entire villa,7.0,1.0,2.0,3.0,4.83,63.0,4.9,5.0,4.9,5.0,4.8,4.9
Dilijan,Armenia,Villa Jrhogher Dilijan,2015.0,100.0,Identity not verified,18.0,regular host,Entire residential home,8.0,2.0,3.0,8.0,4.67,212.0,4.8,4.8,4.8,4.6,4.8,4.4
Dilijan,Armenia,Renovated village house in Dilijan,2012.0,100.0,Identity not verified,6.0,regular host,Entire villa,8.0,2.5,4.0,6.0,5.0,151.0,4.8,4.8,5.0,5.0,5.0,4.5
Dilijan,Armenia,Nahapet-Haus( дом с гаражом и 6+1 кровати ),2017.0,100.0,Identity not verified,29.0,Super host,Entire residential home,6.0,1.5,3.0,5.0,4.86,29.0,5.0,4.9,4.8,4.8,4.9,4.9
Dilijan,Armenia,"""Petit Dilijan - Autumn""",2014.0,,Identity not verified,31.0,regular host,Entire guesthouse,2.0,1.0,1.0,1.0,0.0,21.0,,,,,,
Dilijan,Armenia,Wishing to experience Dilijan differently?,2020.0,100.0,Identity verified,0.0,regular host,Entire villa  Resort Villa,12.0,6.0,5.0,7.0,0.0,350.0,,,,,,
Dilijan,Armenia,Sergey’s House,2019.0,100.0,Identity verified,44.0,Super host,Entire residential home,8.0,1.5,3.0,4.0,4.56,50.0,4.7,4.4,4.7,4.3,4.7,4.4
Dilijan,Armenia,Dilijan Freedom,2019.0,100.0,Identity verified,0.0,regular host,Entire residential home,6.0,1.0,3.0,6.0,0.0,60.0,,,,,,
Dilijan,Armenia,"""Petit Dilijan - Autumn""",2014.0,,Identity not verified,31.0,regular host,Entire guesthouse,2.0,1.0,1.0,1.0,0.0,21.0,,,,,,
Dilijan,Armenia,"""Petit Dilijan - Winter""",2014.0,,Identity not verified,31.0,regular host,Entire guesthouse,4.0,1.0,1.0,4.0,0.0,12.0,,,,,,
Dilijan,Armenia,Dilijan View,2015.0,100.0,Identity verified,85.0,regular host,Entire residential home,10.0,2.0,3.0,6.0,5.0,65.0,5.0,5.0,4.7,5.0,5.0,4.7
Dilijan,Armenia,Nahapet-Haus( дом с гаражом и 6+1 кровати ),2017.0,100.0,Identity not verified,29.0,Super host,Entire residential home,6.0,1.5,3.0,5.0,4.86,29.0,5.0,4.9,4.8,4.8,4.9,4.9
Dilijan,Armenia,Dilijan Family House,2015.0,100.0,Identity verified,85.0,regular host,Entire residential home,4.0,1.0,1.0,2.0,4.7,22.0,4.8,4.7,4.8,4.7,4.9,4.8
Dilijan,Armenia,Bel Appart,2014.0,,Identity verified,0.0,regular host,Entire condominium (condo),4.0,1.0,1.0,1.0,0.0,85.0,,,,,,
Dilijan,Armenia,B&B OLD DILI,2016.0,100.0,Identity not verified,154.0,Super host,Private room in bed and breakfast,4.0,1.0,1.0,2.0,4.68,11.0,4.9,4.9,4.9,5.0,5.0,4.8
Dilijan,Armenia,Bamboo,2020.0,100.0,Identity not verified,6.0,regular host,Entire residential home,9.0,1.0,3.0,4.0,4.0,65.0,3.8,4.2,4.2,4.6,4.4,3.8
Dilijan,Armenia,SMART Resort Villa,2020.0,100.0,Identity verified,0.0,regular host,Entire villa  Resort Villa,12.0,6.0,5.0,8.0,0.0,354.0,,,,,,
Dilijan,Armenia,"""Petit Dilijan - Spring""",2014.0,,Identity not verified,31.0,regular host,Entire guesthouse,2.0,1.0,1.0,2.0,0.0,21.0,,,,,,
Dilijan,Armenia,"""Petit Dilijan - Summer""",2014.0,,Identity not verified,31.0,regular host,Entire guesthouse,2.0,1.0,1.0,1.0,0.0,21.0,,,,,,
Dilijan,Armenia,Bamboo,2020.0,100.0,Identity not verified,6.0,regular host,Entire residential home,9.0,1.0,3.0,4.0,4.0,65.0,3.8,4.2,4.2,4.6,4.4,3.8
Dilijan,Armenia,Dilijan Family House,2015.0,100.0,Identity verified,85.0,regular host,Entire residential home,4.0,1.0,1.0,2.0,4.7,22.0,4.8,4.7,4.8,4.7,4.9,4.8
Dilijan,Armenia,KiroviTun,2021.0,100.0,Identity verified,0.0,regular host,Private room in cottage,4.0,2.5,2.0,0.0,0.0,190.0,,,,,,
