city,country,name,host_since,host_response_rate,host_identity_verified,review,superhost,property_type,accomodates,number_bathroom,number_bedroom,number_beds,rating,price,cleanliness,accuracy,communication,location,check_in,value
Noratus,Armenia,Oazis a place for a real holiday. Big room,2019.0,100.0,Identity not verified,1.0,regular host,Room in hotel,7.0,1.5,2.0,2.0,0.0,13.0,,,,,,
Tsaghkadzor,Armenia,Snowdrop ❤ of Tsaghkadzor ✔ Self Checkin ✔ Balcony,2016.0,100.0,Identity verified,239.0,Super host,Entire condominium (condo),3.0,1.0,1.0,1.0,5.0,50.0,5.0,5.0,5.0,5.0,5.0,5.0
Noratus,Armenia,Room with Armenian spirit,2019.0,100.0,Identity not verified,1.0,regular host,Room in hotel,7.0,1.5,1.0,1.0,0.0,13.0,,,,,,
Garni,Armenia,Cherry blossoms,2017.0,92.0,Identity verified,98.0,Super host,Entire residential home,5.0,1.0,1.0,4.0,4.9,33.0,4.9,4.9,4.8,5.0,5.0,4.8
Garni,Armenia,"It's CHERRY time, welcome!",2017.0,92.0,Identity verified,98.0,Super host,Entire residential home,4.0,1.0,1.0,2.0,4.97,32.0,4.9,4.9,4.9,5.0,4.9,4.8
Gavar,Armenia,Mountain dweller or Cattle farmer,2018.0,,Identity verified,0.0,regular host,Tent,5.0,0.0,3.0,1.0,0.0,16.0,,,,,,
Sevan,Armenia,Sevan Home on the center,2020.0,100.0,Identity verified,5.0,regular host,Entire rental unit,5.0,1.5,3.0,3.0,5.0,40.0,5.0,5.0,5.0,4.6,5.0,4.8
Sevan,Armenia,Modern cottage in the national park and near Lake,2018.0,100.0,Identity verified,2.0,regular host,Entire residential home,6.0,2.0,3.0,4.0,0.0,64.0,,,,,,
Tsaghkadzor,Armenia,Hillside Apartment Tsaghkadzor,2018.0,100.0,Identity verified,7.0,regular host,Entire rental unit,5.0,1.5,1.0,1.0,5.0,25.0,5.0,5.0,5.0,5.0,5.0,5.0
Sevan,Armenia,Aurum Trip Guest House with a great view,2020.0,,Identity verified,0.0,regular host,Private room in residential home,5.0,1.0,2.0,2.0,0.0,13.0,,,,,,
Севан,Armenia,Writers' Holiday Home (Sevan Peninsula),2017.0,100.0,Identity verified,24.0,regular host,Room in boutique hotel,4.0,1.0,1.0,4.0,4.43,44.0,3.9,4.7,4.6,5.0,5.0,4.4
Yerevan,Armenia,Yerkir eco house,2016.0,100.0,Identity verified,281.0,Super host,Entire residential home,6.0,2.0,3.0,4.0,5.0,400.0,5.0,5.0,5.0,5.0,5.0,5.0
Gegharkunik,Armenia,Holiday cottage,2019.0,0.0,Identity verified,0.0,regular host,Private room in resort,4.0,1.0,2.0,1.0,0.0,50.0,,,,,,
