city,country,name,host_since,host_response_rate,host_identity_verified,review,superhost,property_type,accomodates,number_bathroom,number_bedroom,number_beds,rating,price,cleanliness,accuracy,communication,location,check_in,value
Sevan,Armenia,Sevan Home on the center,2020.0,100.0,Identity verified,5.0,regular host,Entire rental unit,5.0,1.5,3.0,3.0,5.0,40.0,5.0,5.0,5.0,4.6,5.0,4.8
Sevan,Armenia,Central Studio Apartment,2016.0,100.0,Identity verified,7.0,regular host,Entire rental unit,6.0,1.0,1.0,2.0,4.75,39.0,5.0,4.8,5.0,4.8,5.0,4.5
Sevan,Armenia,Aurum Trip Guest House with a great view,2020.0,,Identity verified,0.0,regular host,Private room in residential home,5.0,1.0,2.0,2.0,0.0,13.0,,,,,,
Sevan,Armenia,Дом отдыха писателей (Севан полуостров),2017.0,100.0,Identity verified,24.0,regular host,Room in boutique hotel,4.0,1.0,1.0,4.0,4.43,44.0,3.9,4.7,4.6,5.0,5.0,4.4
Sevan,Armenia,Guest House + Transfer to Sevan lake 2,2017.0,100.0,Identity verified,15.0,regular host,Private room in bed and breakfast,2.0,1.0,1.0,2.0,4.67,30.0,5.0,4.3,5.0,4.2,4.8,4.8
Sevan,Armenia,"Mountain Lake Villa, Premium room",2018.0,,Identity verified,18.0,regular host,Private room in villa,4.0,1.0,1.0,1.0,4.67,11.0,5.0,4.7,4.7,4.7,4.7,5.0
Sevan,Armenia,Modern cottage in the national park and near Lake,2018.0,100.0,Identity verified,2.0,regular host,Entire residential home,6.0,2.0,3.0,4.0,0.0,64.0,,,,,,
Sevan,Armenia,House for rent in <Home Inn> near Lake Sevan,2019.0,100.0,Identity verified,0.0,regular host,Entire residential home,10.0,2.0,4.0,0.0,0.0,74.0,,,,,,
Sevan,Armenia,Charming cottage by the lake Sevan 6/6,2015.0,100.0,Identity not verified,28.0,regular host,Entire cottage,6.0,1.0,2.0,3.0,4.13,25.0,3.9,4.4,4.2,4.4,4.7,3.9
Sevan,Armenia,Mama Mia - Sevan,2017.0,69.0,Identity verified,38.0,regular host,Entire serviced apartment,3.0,1.0,1.0,1.0,3.6,25.0,3.6,4.6,4.2,4.4,4.6,3.8
Sevan,Armenia,Guest House + Transfer to Sevan lake,2017.0,100.0,Identity verified,15.0,regular host,Private room in bed and breakfast,10.0,1.0,4.0,7.0,4.75,20.0,4.4,4.2,4.9,4.4,4.9,4.5
Sevan,Armenia,USSR guest house-discover the life of ancients,2019.0,,Identity verified,5.0,regular host,Private room in townhouse,7.0,1.0,1.0,7.0,5.0,21.0,5.0,4.8,5.0,4.8,5.0,5.0
Sevan,Armenia,Armen's B&B,2019.0,0.0,Identity verified,0.0,regular host,Private room in bed and breakfast,10.0,1.0,4.0,7.0,0.0,18.0,,,,,,
Sevan,Armenia,Armen's B&B,2019.0,0.0,Identity verified,0.0,regular host,Private room in bed and breakfast,10.0,1.0,4.0,7.0,0.0,18.0,,,,,,
Sevan,Armenia,Luxe Apartment,2020.0,100.0,Identity verified,0.0,regular host,Entire rental unit,6.0,1.0,2.0,4.0,0.0,35.0,,,,,,
Sevan,Armenia,Armine's b&b,2017.0,69.0,Identity verified,38.0,regular host,Private room in residential home,2.0,1.0,1.0,1.0,4.33,20.0,4.7,4.5,4.3,4.7,4.3,4.7
Sevan,Armenia,"Mountain Lake Villa, Standart room*",2018.0,,Identity verified,18.0,regular host,Private room in villa,4.0,1.0,1.0,2.0,0.0,11.0,,,,,,
Sevan,Armenia,Sevan ZIM Hotel,2017.0,69.0,Identity verified,38.0,regular host,Room in aparthotel,5.0,1.0,2.0,2.0,4.67,37.0,5.0,4.7,4.0,4.0,4.0,4.3
Sevan,Armenia,"Mountain Lake Villa ,Standard room",2018.0,,Identity verified,18.0,regular host,Private room in villa,4.0,1.0,1.0,2.0,5.0,11.0,4.9,5.0,5.0,4.9,5.0,5.0
Sevan,Armenia,Landhaus in der Perle von Armenien,2019.0,100.0,Identity verified,1.0,regular host,Shared room in bed and breakfast,6.0,1.0,1.0,5.0,0.0,24.0,,,,,,
