city,country,name,host_since,host_response_rate,host_identity_verified,review,superhost,property_type,accomodates,number_bathroom,number_bedroom,number_beds,rating,price,cleanliness,accuracy,communication,location,check_in,value
Sisian,Armenia,Dreamlet Guest House,2019.0,100.0,Identity verified,5.0,regular host,Private room in residential home,4.0,2.0,2.0,5.0,5.0,19.0,5.0,4.4,5.0,5.0,4.6,5.0
Halidzor,Armenia,Forest Cottage in Mountain Setting,2015.0,100.0,Identity verified,40.0,regular host,Private room in nature lodge,2.0,1.0,0.0,1.0,4.93,29.0,4.9,4.8,4.8,5.0,4.9,4.9
Halidzor,Armenia,Syunyats guest house,2018.0,100.0,Identity not verified,4.0,regular host,Entire residential home,9.0,1.0,2.0,9.0,4.5,47.0,4.8,4.5,5.0,4.8,4.8,4.8
Tatev,Armenia,Vazken,2015.0,100.0,Identity verified,61.0,Super host,Private room in residential home,5.0,1.5,2.0,4.0,4.86,18.0,4.8,5.0,5.0,5.0,5.0,4.9
Tatev,Armenia,Tatev Guest House,2016.0,100.0,Identity not verified,8.0,regular host,Private room in residential home,6.0,1.0,2.0,5.0,5.0,10.0,5.0,4.9,5.0,5.0,5.0,5.0
Tatev,Armenia,Forest Family Chalet with View to Tatev Monastery,2015.0,100.0,Identity verified,40.0,regular host,Private room in nature lodge,4.0,1.0,1.0,3.0,4.89,58.0,5.0,5.0,4.9,4.9,5.0,4.9
Tatev,Armenia,Saro's B&B in Tatev,2015.0,100.0,Identity not verified,38.0,Super host,Private room in guesthouse,16.0,5.0,6.0,13.0,4.89,17.0,5.0,4.9,4.9,4.8,4.9,4.9
Goris,Armenia,At Sky Level,2019.0,100.0,Identity not verified,9.0,regular host,Entire rental unit  Sky,3.0,1.0,2.0,3.0,4.89,44.0,4.9,4.9,4.9,5.0,4.9,4.8
Jermuk,Armenia,"Guest house in Jermuk , cozy and comfortable",2018.0,100.0,Identity not verified,6.0,regular host,Entire rental unit,2.0,1.0,1.0,1.0,5.0,26.0,5.0,5.0,5.0,5.0,5.0,4.8
Goris,Armenia,Guesthouse,2018.0,100.0,Identity verified,15.0,regular host,Private room in guesthouse,13.0,1.5,4.0,11.0,4.93,10.0,4.9,4.8,4.9,4.8,5.0,4.7
Jermuk,Armenia,Guest House Forte Two-Bedroom,2017.0,100.0,Identity verified,51.0,regular host,Entire rental unit,4.0,1.0,2.0,3.0,4.61,29.0,4.9,4.9,5.0,4.9,4.9,4.7
Goris,Armenia,Hayi Tun Guest House,2017.0,100.0,Identity not verified,4.0,regular host,Private room in residential home,15.0,3.5,3.0,13.0,5.0,13.0,5.0,5.0,5.0,4.3,5.0,4.7
Jermuk,Armenia,Guest House Forte трехкомнатная,2017.0,100.0,Identity verified,51.0,regular host,Entire rental unit,5.0,1.0,2.0,3.0,4.82,40.0,4.9,5.0,5.0,4.9,5.0,4.9
Tatev,Armenia,Tatev 1 Resort,2018.0,100.0,Identity not verified,5.0,regular host,Private room in bed and breakfast,12.0,2.0,5.0,12.0,4.8,14.0,4.6,4.8,5.0,4.8,5.0,5.0
Jermuk,Armenia,Guest House Forte двухместная однокомнатная,2017.0,100.0,Identity verified,51.0,regular host,Entire rental unit,2.0,1.0,0.0,1.0,4.63,20.0,4.8,4.8,4.9,4.9,5.0,4.6
Goris,Armenia,Private Double Bed Room in Aregak B&B,2015.0,100.0,Identity not verified,39.0,regular host,Private room in bed and breakfast,2.0,2.0,1.0,1.0,5.0,24.0,5.0,5.0,5.0,5.0,5.0,5.0
Goris,Armenia,Guesthouse,2018.0,100.0,Identity verified,15.0,regular host,Private room in guesthouse,13.0,1.5,4.0,11.0,4.93,10.0,4.9,4.8,4.9,4.8,5.0,4.7
