city,country,name,host_since,host_response_rate,host_identity_verified,review,superhost,property_type,accomodates,number_bathroom,number_bedroom,number_beds,rating,price,cleanliness,accuracy,communication,location,check_in,value
Odzun,Armenia,Private Villa at Odzun Monastery | Առանձնատուն,2015.0,100.0,Identity verified,27.0,Super host,Entire villa,6.0,2.0,2.0,4.0,5.0,13.0,5.0,5.0,5.0,5.0,5.0,5.0
Alaverdi,Armenia,ARMBEE Honey Farm 2,2019.0,100.0,Identity verified,5.0,regular host,Entire chalet,2.0,1.5,1.0,2.0,5.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0
Alaverdi,Armenia,Family Guest House,2016.0,100.0,Identity verified,10.0,regular host,Private room in guest suite  Hovasapyan,5.0,1.0,1.0,7.0,4.7,11.0,5.0,5.0,4.7,4.9,4.9,4.8
Alaverdi,Armenia,Come and have a rest!!,2014.0,67.0,Identity not verified,5.0,regular host,Entire place,16.0,8.0,10.0,16.0,4.67,15.0,5.0,4.0,4.3,4.7,5.0,4.7
Stepanavan,Armenia,Major's House Boutique Hotel in Stepanavan,2021.0,100.0,Identity verified,0.0,regular host,Room in boutique hotel,2.0,1.0,1.0,1.0,0.0,100.0,,,,,,
Alaverdi,Armenia,Old City Hotel Alaverdi,2019.0,0.0,Identity not verified,8.0,regular host,Room in hotel,7.0,4.0,4.0,8.0,4.5,10.0,4.5,3.2,4.5,4.5,4.7,5.0
Stepanavan,Armenia,Hametsek - comfortable stay and cultural immersion,2018.0,100.0,Identity verified,3.0,regular host,Entire residential home,6.0,1.0,2.0,4.0,3.67,25.0,4.0,4.7,4.3,4.0,5.0,3.7
Stepanavan,Armenia,Private house with garden,2017.0,86.0,Identity verified,3.0,regular host,Entire residential home,8.0,1.0,3.0,5.0,0.0,55.0,,,,,,
Stepanavan,Armenia,Major's House Boutique Hotel in Stepanavan,2021.0,100.0,Identity verified,0.0,regular host,Room in boutique hotel,3.0,1.0,1.0,2.0,0.0,100.0,,,,,,
Gyulagarak,Armenia,"V&V HOTEL, COTTAGE 2",2020.0,100.0,Identity verified,1.0,regular host,Entire villa,6.0,1.0,2.0,4.0,0.0,155.0,,,,,,
Vahagnadzor,Armenia,Two bedroom with living room in Gugark Retreat,2019.0,100.0,Identity verified,0.0,regular host,Private room in rental unit,4.0,1.0,2.0,4.0,0.0,21.0,,,,,,
Stepanavan,Armenia,Major's House Boutique Hotel in Stepanavan,2021.0,100.0,Identity verified,0.0,regular host,Entire residential home,16.0,8.0,8.0,11.0,0.0,650.0,,,,,,
Stepanavan,Armenia,Hametsek - Private Room with Garden View,2018.0,100.0,Identity verified,3.0,regular host,Private room in residential home,3.0,1.0,1.0,0.0,0.0,15.0,,,,,,
Alaverdi,Armenia,Низкая цена за комфорт и чистоту,2019.0,0.0,Identity not verified,8.0,regular host,Private room in rental unit,8.0,5.0,4.0,13.0,0.0,10.0,,,,,,
Alaverdi,Armenia,Низкая цена за комфорт и чистоту,2019.0,0.0,Identity not verified,8.0,regular host,Private room in rental unit,8.0,5.0,4.0,13.0,0.0,10.0,,,,,,
Odzun,Armenia,Em & Ri Guest House,2017.0,,Identity verified,1.0,regular host,Private room in residential home  & Ri,2.0,2.0,1.0,9.0,0.0,28.0,,,,,,
Gargar,Armenia,Healthy and healthy,2015.0,100.0,Identity not verified,3.0,regular host,Private room in residential home,2.0,1.0,2.0,4.0,5.0,12.0,4.3,5.0,5.0,5.0,5.0,5.0
Stepanavan,Armenia,Barseghyan's resort,2021.0,100.0,Identity verified,0.0,regular host,Entire residential home,7.0,1.0,4.0,6.0,0.0,54.0,,,,,,
Stepanavan,Armenia,"Best offer in Lori Region, Stepanavan",2017.0,86.0,Identity verified,3.0,regular host,Private room in guest suite,16.0,1.0,1.0,2.0,2.5,25.0,4.0,3.0,2.5,2.5,3.5,3.0
Alaverdi,Armenia,Mini House,2017.0,0.0,Identity not verified,6.0,regular host,Private room in bed and breakfast,9.0,3.0,4.0,9.0,4.0,26.0,4.2,4.0,3.8,4.2,4.0,4.2
