city,country,name,host_since,host_response_rate,host_identity_verified,review,superhost,property_type,accomodates,number_bathroom,number_bedroom,number_beds,rating,price,cleanliness,accuracy,communication,location,check_in,value
Yerevan,Armenia,➤ Cute Studio near Vernissage,2020.0,95.0,Identity verified,191.0,Super host,Entire rental unit  Inn,2.0,1.0,0.0,1.0,4.69,35.0,4.8,4.9,4.8,4.9,4.9,4.8
Yerevan,Armenia,Apartments in the CITY CENTER near the OPERA,2016.0,100.0,Identity verified,1.0,Super host,Entire rental unit,2.0,1.5,1.0,1.0,4.86,30.0,4.9,4.9,5.0,5.0,4.9,4.9
Yerevan,Armenia,★Urban Luxury Oasis★Near Republic Square,2018.0,100.0,Identity not verified,110.0,Super host,Entire rental unit,2.0,1.0,0.0,1.0,4.95,40.0,5.0,4.9,5.0,5.0,5.0,4.8
Yerevan,Armenia,1 BDR with nice View on Koghbatsi 16,2020.0,98.0,Identity verified,174.0,Super host,Entire rental unit,4.0,1.0,1.0,1.0,4.93,63.0,4.8,4.9,5.0,5.0,4.9,4.9
Yerevan,Armenia,Studio apt. on Koghbatsi str. nearby Republic Sq.,2020.0,94.0,Identity verified,221.0,Super host,Entire rental unit,4.0,1.0,1.0,3.0,4.83,48.0,4.9,4.8,4.9,5.0,4.9,4.9
Yerevan,Armenia,"COZY STUDIO NEAR OPERA, UNBEATABLE LOCATION :)",2017.0,95.0,Identity verified,333.0,Super host,Entire rental unit,2.0,1.0,0.0,1.0,4.93,22.0,5.0,5.0,5.0,4.9,5.0,4.9
Yerevan,Armenia,❃ Studio Lily ✔ Self Checkin ✔ Garden ✔ BBQ,2016.0,100.0,Identity verified,241.0,Super host,Entire rental unit,2.0,1.0,0.0,2.0,5.0,26.0,5.0,5.0,5.0,5.0,5.0,5.0
Yerevan,Armenia,"""HEART OF YEREVAN"" APARTMENT OF REPUBLIC SQUERE",2016.0,100.0,Identity verified,1.0,Super host,Entire serviced apartment,3.0,1.0,1.0,1.0,4.94,35.0,4.9,5.0,5.0,5.0,5.0,4.9
Yerevan,Armenia,КВАРТИРА В ЭЛИТНОМ ДОМЕ. ELITE APARTMENT,2018.0,100.0,Identity verified,97.0,Super host,Entire rental unit,2.0,1.0,1.0,1.0,4.99,26.0,4.9,5.0,5.0,4.9,5.0,4.9
Yerevan,Armenia,The loft apartment in front of the Central Bank,2015.0,100.0,Identity verified,152.0,regular host,Entire loft,3.0,2.5,1.0,2.0,5.0,45.0,4.7,5.0,5.0,5.0,4.7,4.7
Yerevan,Armenia,Stylish Apartments of Republic Squere(City Center),2016.0,100.0,Identity verified,1.0,Super host,Entire rental unit,3.0,1.0,1.0,1.0,4.95,35.0,5.0,5.0,5.0,5.0,4.9,4.8
Yerevan,Armenia,1 BDR with balcony on Koghbatsi 16,2020.0,98.0,Identity verified,174.0,Super host,Entire rental unit,3.0,1.0,1.0,1.0,4.9,57.0,4.9,5.0,4.9,4.9,4.8,5.0
Yerevan,Armenia,Studio Apartment on Mashtots Street by Picnic,2017.0,61.0,Identity verified,121.0,regular host,Entire rental unit,2.0,1.0,0.0,1.0,4.85,41.0,4.7,4.8,4.9,5.0,4.7,4.8
