city,country,name,properties,Air conditioning,BBQ grill,Baby safety gates,Backyard,Baking sheet,Bathtub,Bed linens,Bidet,Body soap,Books and reading material,Breakfast,Carbon monoxide alarm,Ceiling fan,Central heating,Children’s books and toys,Cleaning products,Clothing storage,Coffee,Coffee maker,Conditioner,Cooking basics,Crib,Dedicated workspace,Dining table,Dishes and silverware,Dishwasher,Dryer,Drying rack for clothing,Elevator,Essentials,Ethernet connection,Extra pillows and blankets,Fire extinguisher,First aid kit,Free driveway parking on premises,Free street parking,Freezer,"HDTV with Netflix, standard cable",Hair dryer,Hangers,Heating,High chair,Hot water,Hot water kettle,Indoor fireplace,Iron,Kitchen,Laundromat nearby,Lockbox,Long term stays allowed,Luggage dropoff allowed,Microwave,Mini fridge,Mosquito net,Outdoor furniture,Outlet covers,Oven,Paid parking off premises,Paid parking on premises,Patio or balcony,Portable fans,Private entrance,Radiant heating,Refrigerator,Room-darkening shades,Security cameras on property,Self check-in,Shampoo,Shower gel,Single level home,Smoke alarm,Smoking allowed,Sound system with aux,Stove,Suitable for events,TV,Trash compactor,Washer,Wifi,Wine glasses,geneva green conditioner
Odzun,Armenia,Private Villa at Odzun Monastery | Առանձնատուն,"What this place offers Bathroom Hair dryer Shampoo Hot water Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Hangers Bed linens Extra pillows and blankets Iron Entertainment TV Suitable for events The listing can accommodate a gathering of 25 or more attendees Family Crib Heating and cooling Indoor fireplace Heating Home safety Smoke alarm Carbon monoxide alarm Internet and office Wifi Available throughout the listing Dedicated workspace Pocket wifi Kitchen and dining Kitchen Space where guests can cook their own meals Refrigerator Cooking basics Pots and pans, oil, salt and pepper Dishes and silverware Dishwasher Stove Oven Location features Private entrance Separate street or building entrance Outdoor Patio or balcony Backyard An open space on the property usually covered in grass BBQ grill Parking and facilities Free parking on premises Free street parking Services Pets allowed Assistance animals are always allowed Luggage dropoff allowed For guests' convenience when they have early arrival or late departure Smoking allowed Long term stays allowed Allow stay for 28 days or more Self check-in Lockbox ",0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Alaverdi,Armenia,ARMBEE Honey Farm 2,"What this place offers Bathroom Hair dryer Shampoo Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Iron Entertainment Suitable for events The listing can accommodate a gathering of 25 or more attendees Home safety Fire extinguisher First aid kit Internet and office Wifi Available throughout the listing Dedicated workspace Kitchen and dining Kitchen Space where guests can cook their own meals Refrigerator Oven Location features Private entrance Separate street or building entrance Parking and facilities Free parking on premises Free street parking Services Breakfast Breakfast is provided Long term stays allowed Allow stay for 28 days or more ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Noyemberyan,Armenia,Otevan Hotel,"What this place offers Bathroom Hair dryer Shampoo Bedroom and laundry Washer Dryer Essentials Towels, bed sheets, soap, and toilet paper Hangers Iron Entertainment TV Suitable for events The listing can accommodate a gathering of 25 or more attendees Heating and cooling Air conditioning Heating Home safety Smoke alarm Carbon monoxide alarm Fire extinguisher Lock on bedroom door Private room can be locked for safety and privacy First aid kit Internet and office Wifi Available throughout the listing Dedicated workspace Kitchen and dining Kitchen Space where guests can cook their own meals Location features Waterfront Right next to a body of water Private entrance Separate street or building entrance Parking and facilities Free parking on premises Private living room Services Pets allowed Assistance animals are always allowed Breakfast Breakfast is provided Long term stays allowed Allow stay for 28 days or more ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Alaverdi,Armenia,Family Guest House,"What this place offers Bathroom Hair dryer Shampoo Hot water Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Hangers Bed linens Extra pillows and blankets Iron Entertainment Ethernet connection TV Heating and cooling Heating Home safety Smoke alarm Carbon monoxide alarm Lock on bedroom door Private room can be locked for safety and privacy Internet and office Wifi Available throughout the listing Dedicated workspace Kitchen and dining Kitchen Space where guests can cook their own meals Refrigerator Cooking basics Pots and pans, oil, salt and pepper Dishes and silverware Stove Oven Location features Waterfront Right next to a body of water Beach access – Beachfront Guests can enjoy a nearby beach Private entrance Separate street or building entrance Outdoor Patio or balcony Backyard An open space on the property usually covered in grass BBQ grill Parking and facilities Free parking on premises Free street parking Single level home No stairs in home Private living room Services Pets allowed Assistance animals are always allowed Long term stays allowed Allow stay for 28 days or more Self check-in Building staff Someone is available 24 hours a day to let guests in ",0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Berdavan,Armenia,Berdavan guesthouse,"What this place offers Bathroom Hair dryer Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Hangers Iron Heating and cooling Air conditioning Heating Home safety Lock on bedroom door Private room can be locked for safety and privacy Internet and office Wifi Available throughout the listing Dedicated workspace Kitchen and dining Kitchen Space where guests can cook their own meals Dishes and silverware Location features Private entrance Separate street or building entrance Outdoor Backyard An open space on the property usually covered in grass Parking and facilities Free parking on premises Private living room Services Pets allowed Assistance animals are always allowed Smoking allowed Self check-in Building staff Someone is available 24 hours a day to let guests in Long term stays allowed Allow stay for 28 days or more ",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Noyemberyan,Armenia,Noratun,"What this place offers Bathroom Hair dryer Shampoo Bedroom and laundry Washer Dryer Essentials Towels, bed sheets, soap, and toilet paper Hangers Iron Entertainment TV Suitable for events The listing can accommodate a gathering of 25 or more attendees Heating and cooling Air conditioning Heating Home safety Carbon monoxide alarm Fire extinguisher First aid kit Internet and office Wifi Available throughout the listing Dedicated workspace Kitchen and dining Kitchen Space where guests can cook their own meals Outdoor Backyard An open space on the property usually covered in grass BBQ grill Parking and facilities Free parking on premises Free street parking Services Luggage dropoff allowed For guests' convenience when they have early arrival or late departure Breakfast Breakfast is provided Long term stays allowed Allow stay for 28 days or more ",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Alaverdi,Armenia,"Calm 3-bedroom cottage, large garden, fresh fruits","What this place offers Bathroom Hair dryer Cleaning products Shampoo Body soap Hot water Shower gel Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Bed linens Room-darkening shades Iron Mosquito net Clothing storage Entertainment TV Suitable for events The listing can accommodate a gathering of 25 or more attendees Heating and cooling Portable heater Home safety First aid kit Kitchen and dining Kitchen Space where guests can cook their own meals Refrigerator Cooking basics Pots and pans, oil, salt and pepper Dishes and silverware Freezer Oven Hot water kettle Coffee maker Barbecue utensils Coffee Dining table Outdoor Private patio or balcony Private backyard – Fully fenced An open space on the property usually covered in grass Fire pit Outdoor dining area BBQ grill Parking and facilities Free parking on premises Free street parking Services Pets allowed Assistance animals are always allowed Smoking allowed Long term stays allowed Allow stay for 28 days or more ",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Alaverdi,Armenia,ARMBEE Honey Farm,"What this place offers Bathroom Hair dryer Shampoo Hot water Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Hangers Iron Entertainment TV Suitable for events The listing can accommodate a gathering of 25 or more attendees Internet and office Wifi Available throughout the listing Dedicated workspace Kitchen and dining Microwave Dishes and silverware Coffee maker Outdoor Backyard An open space on the property usually covered in grass BBQ grill Parking and facilities Free parking on premises Free street parking Private living room Services Breakfast Breakfast is provided Host greets you Long term stays allowed Allow stay for 28 days or more ",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Alaverdi,Armenia,Come and have a rest!!,"What this place offers Bathroom Hair dryer Shampoo Bedroom and laundry Essentials Towels, bed sheets, soap, and toilet paper Entertainment TV with standard cable Suitable for events The listing can accommodate a gathering of 25 or more attendees Heating and cooling Air conditioning Heating Internet and office Wifi Available throughout the listing Parking and facilities Free parking on premises Pool Services Breakfast Breakfast is provided Smoking allowed Long term stays allowed Allow stay for 28 days or more ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Alaverdi,Armenia,Old City Hotel Alaverdi,What this place offers Bathroom Hair dryer Shampoo Bedroom and laundry Washer Hangers Entertainment TV Suitable for events The listing can accommodate a gathering of 25 or more attendees Heating and cooling Heating Home safety Fire extinguisher Lock on bedroom door Private room can be locked for safety and privacy First aid kit Internet and office Wifi Available throughout the listing Dedicated workspace Location features Private entrance Separate street or building entrance Parking and facilities Free parking on premises Private living room Services Pets allowed Assistance animals are always allowed Breakfast Breakfast is provided Smoking allowed ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
