Link,Title,Rating,Votes,Description,Director
,,,,,
https://www.imdb.com/title/tt8332922/?ref_=adv_li_tt,A Quiet Place Part II,7.4,"89,974","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",John Krasinski
https://www.imdb.com/title/tt9340860/?ref_=adv_li_tt,Let Him Go,6.7,"16,924","A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.",Thomas Bezucha
https://www.imdb.com/title/tt5439812/?ref_=adv_li_tt,Zola,6.9,"1,953",A stripper named Zola embarks on a wild road trip to Florida.,Janicza Bravo
https://www.imdb.com/title/tt6723592/?ref_=adv_li_tt,Tenet,7.4,"383,318","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Christopher Nolan
https://www.imdb.com/title/tt1086064/?ref_=adv_li_tt,Bill & Ted Face the Music,6.0,"36,153","Once told they'd save the universe during a time-traveling adventure, 2 would-be rockers from San Dimas, California find themselves as middle-aged dads still trying to crank out a hit song and fulfill their destiny.",Dean Parisot
https://www.imdb.com/title/tt10886166/?ref_=adv_li_tt,365 Days,3.3,"62,731","Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",Barbara Bialowas
https://www.imdb.com/title/tt9620292/?ref_=adv_li_tt,Promising Young Woman,7.5,"111,813","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",Emerald Fennell
https://www.imdb.com/title/tt8244784/?ref_=adv_li_tt,The Hunt,6.5,"80,149","Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.",Craig Zobel
https://www.imdb.com/title/tt9770150/?ref_=adv_li_tt,Nomadland,7.4,"112,556","A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",Chloé Zhao
https://www.imdb.com/title/tt10288566/?ref_=adv_li_tt,Another Round,7.8,"90,805",Four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,Thomas Vinterberg
https://www.imdb.com/title/tt10272386/?ref_=adv_li_tt,The Father,8.3,"78,476","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Florian Zeller
https://www.imdb.com/title/tt5752192/?ref_=adv_li_tt,Meander,5.8,"1,946",A woman finds herself locked in a series of strange tunnels full of deadly traps.,Mathieu Turi
https://www.imdb.com/title/tt7126948/?ref_=adv_li_tt,Wonder Woman 1984,5.4,"216,534","Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",Patty Jenkins
https://www.imdb.com/title/tt10345590/?ref_=adv_li_tt,How I Became a Super Hero,5.8,"1,803","While superheroes have assimilated into Parisian society, a new drug gives super powers to mere mortals.",Douglas Attal
https://www.imdb.com/title/tt2948372/?ref_=adv_li_tt,Soul,8.1,"261,000","After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",Pete Docter
https://www.imdb.com/title/tt8368512/?ref_=adv_li_tt,The Courier,7.1,"21,467",Cold War spy Greville Wynne and his Russian source try to put an end to the Cuban Missile Crisis.,Dominic Cooke
https://www.imdb.com/title/tt8503618/?ref_=adv_li_tt,Hamilton,8.4,"68,382","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Thomas Kail
https://www.imdb.com/title/tt10919380/?ref_=adv_li_tt,Freaky,6.3,"34,739","After swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent.",Christopher Landon
https://www.imdb.com/title/tt7737786/?ref_=adv_li_tt,Greenland,6.4,"92,429",A family struggles for survival in the face of a cataclysmic natural disaster.,Ric Roman Waugh
https://www.imdb.com/title/tt6475714/?ref_=adv_li_tt,Monster Hunter,5.3,"40,623","When Lt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",Paul W.S. Anderson
https://www.imdb.com/title/tt11317142/?ref_=adv_li_tt,Shiva Baby,7.2,"7,555","At a Jewish funeral service with her parents, a college student runs into her sugar daddy.",Emma Seligman
https://www.imdb.com/title/tt2850386/?ref_=adv_li_tt,The Croods: A New Age,7.0,"28,362","The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",Joel Crawford
https://www.imdb.com/title/tt9893250/?ref_=adv_li_tt,I Care a Lot,6.3,"106,603",A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,J Blakeson
https://www.imdb.com/title/tt11655202/?ref_=adv_li_tt,Riders of Justice,7.6,"18,296","Markus, who has to go home to his teenage daughter, Mathilde, when his wife dies in a tragic train accident. It seems like an accident until a mathematics geek, who was also a fellow passenger on the train, and his two colleagues show up.",Anders Thomas Jensen
https://www.imdb.com/title/tt11815960/?ref_=adv_li_tt,The Superdeep,4.9,"2,310",A small research team went down below the surface to find out what secret the world's deepest borehole was hiding. What they have found turned out to be the greatest threat in history. And the future of humanity is in their hands.,Arseny Syuhin
https://www.imdb.com/title/tt11032374/?ref_=adv_li_tt,Demon Slayer: Mugen Train,8.4,"28,149","After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",Haruo Sotozaki
https://www.imdb.com/title/tt2222042/?ref_=adv_li_tt,Love and Monsters,7.0,"97,936","Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex.",Michael Matthews
https://www.imdb.com/title/tt10525672/?ref_=adv_li_tt,Silver Skates,7.1,"2,616","The 20th century is just around the corner. In winter, St. Petersburg transforms into a fairy tale-like wonderland where frozen rivers and canals serve as the iced-over roads and bustle ... See full summary »",Michael Lockshin
https://www.imdb.com/title/tt7713068/?ref_=adv_li_tt,Birds of Prey,6.1,"188,777","After splitting with the Joker, Harley Quinn joins superheroes Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.",Cathy Yan
